Dátum;Irány 0 - Autók számossága;Irány 1 - Autók számossága;Irány 0 - Biciklisek számossága;Irány 1 - Biciklisek számossága;Irány 0 - Gyalogosok számossága;Irány 1 - Gyalogosok számossága;Irány 0 - Buszok számossága;Irány 1 - Buszok számossága;Irány 0 - Trolik számossága;Irány 1 - Trolik számossága
2020.12.11-00:00:00.190;5;4;0;0;0;0;0;0;0;1
2020.12.11-00:10:00.378;1;0;0;0;0;0;0;0;0;0
2020.12.11-00:20:00.452;0;4;1;0;0;0;0;1;0;0
2020.12.11-00:30:00.469;2;2;0;0;0;0;0;1;0;0
2020.12.11-00:40:00.474;1;4;0;0;0;0;0;0;0;0
2020.12.11-00:50:00.615;0;1;0;0;0;0;0;0;0;0
2020.12.11-01:00:00.759;0;0;0;0;0;0;0;0;0;0
2020.12.11-01:10:00.848;0;1;0;0;0;0;0;0;0;0
2020.12.11-01:20:00.879;0;0;0;0;0;0;0;0;0;0
2020.12.11-01:30:00.932;1;0;0;0;0;0;0;1;0;0
2020.12.11-01:40:01.129;0;2;0;0;0;0;0;1;0;0
2020.12.11-01:50:01.152;1;1;0;0;0;0;0;0;0;0
2020.12.11-02:00:01.166;1;3;0;0;0;0;0;0;0;0
2020.12.11-02:10:01.329;0;0;0;0;0;0;0;0;0;0
2020.12.11-02:20:01.379;1;1;0;0;0;0;0;0;0;0
2020.12.11-02:30:01.552;0;1;0;0;1;0;0;0;0;0
2020.12.11-02:40:01.569;1;1;0;0;0;0;0;0;0;0
2020.12.11-02:50:01.608;2;0;0;1;0;0;0;0;0;0
2020.12.11-03:00:01.759;3;2;0;0;0;0;0;0;0;0
2020.12.11-03:10:01.825;4;0;0;0;0;0;0;0;0;0
2020.12.11-03:20:01.967;3;2;0;0;0;0;1;2;0;0
2020.12.11-03:30:02.088;8;2;0;0;2;0;0;0;0;1
2020.12.11-03:40:02.271;1;0;0;0;0;0;0;0;0;0
2020.12.11-03:50:02.347;4;1;0;0;0;0;2;0;0;0
2020.12.11-04:00:02.388;2;2;2;1;0;0;0;1;0;0
2020.12.11-04:10:02.560;8;1;2;0;0;0;0;6;0;0
2020.12.11-04:20:02.580;4;4;2;0;0;0;0;4;2;0
2020.12.11-04:30:02.592;16;6;4;2;0;0;0;3;1;0
2020.12.11-04:40:02.762;22;1;1;0;0;0;3;6;1;0
2020.12.11-04:50:02.794;22;14;2;1;3;0;1;4;2;1
2020.12.11-05:00:02.815;26;9;2;2;1;0;2;4;0;0
2020.12.11-05:10:02.928;44;18;6;1;3;0;2;5;0;2
2020.12.11-05:20:03.116;43;15;5;4;1;0;0;5;2;2
2020.12.11-05:30:03.212;49;11;7;4;3;0;6;1;1;0
2020.12.11-05:40:03.235;53;28;5;3;1;1;2;3;0;2
2020.12.11-05:50:03.239;50;26;6;4;0;1;3;5;1;1
2020.12.11-06:00:03.404;39;23;6;1;2;0;5;6;1;0
2020.12.11-06:10:03.675;69;42;3;1;4;0;4;3;0;2
2020.12.11-06:20:03.835;88;28;9;6;3;0;10;5;0;0
2020.12.11-06:30:04.043;101;45;13;3;4;0;15;3;2;4
2020.12.11-06:40:04.126;131;38;5;11;7;0;3;6;1;0
2020.12.11-06:50:04.349;123;64;6;10;18;0;5;4;1;1
2020.12.11-07:00:04.405;148;65;4;5;21;1;5;7;3;1
